translated_text
안야 테일러-조이
미아 찰리스
제이든 다니엘스
타이와노
빌리 레이놀즈-매카시
안나 마리 토마스
네딤 자히치
마크 미친슨
리처드 크라우클리
브루스 캠벨
키아누 리브스
도니 옌
빌 스카스가드
이안 맥셰인
로렌스 피시번
랜스 레딕
클랜시 브라운
사나다 히로유키
샤미어 앤더슨
사와야마 리나
스콧 애드킨스
에이미 콴
마르코 자로르
나탈리아 테나
조지 게오르기우
벨마 리차드슨
재키 미쉬라
브라힘 아차바케
셀만 이이
루스와 야쿠자
스즈키 다이키
다시로 요시노리
스미 히로키
줄리아 아스카 리들
밀레나 렌돈
아이비 콰이누
이리나 트리파노프
이리나 페도로바
라이초 바실레프
안드레이 카민스키
로버트 베스
산조 마코
스벤 마쿼트
데미안 비치르
에반 휘튼
크리스찬 슬레이터
애슐리 시아라
니콜라스 버두고
아드리아나 파즈
제라르도 타라세나
훌리오 세디요
알렉스 나이트
마이클 코스트로프
크리스틴 굿윈
피네건 조지
그렉 파시오
하이럼 콜버트
타일러 독스타더
타이슨 힐
마리 바겐만
전도연
설경구
김시아
이솜
구교환
김성오
이연
황정민
최병모
김기춘
박광재
장인섭
장현성
이재욱
이해영
기주봉
김준배
이영숙
김용준
박세현
임재인
최형주
이승연
김재화
윤경호
김현재
조현우
윤세웅
이루안
케리 러셀
브루클린 프린스
크리스찬 콘버리
오셔 잭슨 주니어
알든 에렌라이히
레이 리오타
아이제이아 휘트록 주니어
마고 마틴데일
제시 타일러 퍼거슨
크리스토퍼 히뷰
김가현
스콧 사이스
아율라 스마트
아론 홀리데이
코너 램버트
셰인 코넬란
JB 무어
레오 한나
크리스토퍼 리빙스턴
매튜 리스
클로이 해리스
한나 혹스트라
폴 루벤스
낸시 데이비스 레이건
데미 반워
아데수아 에토미-웰링턴
토비 바크레
아데보왈레 아데다요
알라비 파수마
올라로티미 파쿤레
러셀 크로우
다니엘 조바토
알렉스 에소
프랑코 네로
로렐 마스덴
코넬 존
랄프 이네슨
리버 호킨스
파블로 레이볼드
라이언 오그래디
알레산드로 그루타다우리아
비앙카 바르도
팔로마 블러이드
캐리 먼로
마크 벨라스코
톰 보닝턴
데릭 캐롤
젠나로 다이아나
오스카 바르베란
아나 에스더 알보그
루이스 페레스 레이나
마리아 루이사 솔라
자우메 솔라
호세 루이스 메디아빌라
호세 하비에르 세라노 로드리게스
알레이스 에스타델라
마리아 모스카도
후안 카를로스 구스템스
로베르토 쿠엥카 마르티네즈
루이스 토렐레스 갈레고
로저 알다보 아르나우
프란세스크 벨다
필라 에스테라스 카사노바
주디스 구엘 무뇨즈
라파엘 파라
조 토마스
엘리노어 톰린슨
셀리아 임리
휴 보네빌
숀 빈
샤카
산티아고 와인더
댄 스타키
올리버 리데르트
레이첼 아데데지
카리나 파시안
스키트 울리히
앤 헤이시
다니엘 디머
조던 크리스틴 시몬
알렉 볼드윈
리차드 건
프라야 룬드베리
조니 왁터
안줄 니감
가브리엘 클라크
에린 코커
잭 피어슨
앤서니 젠슨
넬리 사부르
카란 사구
나탈리 스톨스
저스틴 탱크
제니 트란
스콧 윌리엄스
알렉산더 드레이몬
마크 로울리
아르나스 페다라비치우스
해리 길비
로리 데이비슨
캐번 클러킨
제임스 노스코트
일레인 캐시디
페카 스트랑
로드 할렛
로스 앤더슨
톰 크리스찬
니콜라스 비트만
자크 서트클리프
잉그리드 가르시아 욘손
파르남 팍델
알렉산드라 토스
일로나 체바코바
아그네스 보른
스테프 브람웰
제이콥 더드먼
이완 호록스
존 뷰익
스테판 로드리
로랑 윙클러
아틸라 아르파
피터 간츨러
에밀리 콕스
매그너스 사무엘손
제페 벡 로센
크레이그 데이비드 다우셋
크리스 코델
앰버 도이그손
나타샤 토시니
마리아 테일러
니콜라이 레온
메이 켈리
다니엘 로날드
다니엘 스콧
나타샤 로즈 밀스
폴라 코이즈
사이먼 엘리스
리처드 D. 마이어스
제이스 리버스
바오 티에우
마커스 매시
질리언 브로데릭
리처드 하프스트
레티샤 라이트
루피타 뇽오
다나이 구리라
윈스턴 듀크
도미니크 손
테노크 우에르타 메히아
안젤라 바셋
플로렌스 카숨바
미카엘라 코엘
마벨 카데나
레이크 벨
알렉스 리비날리
로버트 존 버크
대니 사파니
이사크 드 방콜레
코니 치메
마틴 프리먼
줄리아 루이스 드레이퍼스
리차드 쉬프
도로시 스틸
자이나브 자
소페 알루코
트레버 노아
숀 로버츠
졸라 윌리엄스
Janeshia Adams-Ginyard
제미니 파월
마리자 애브니
케이샤 터커
아이비 해럴슨
자바리 엑숨
마삼바 디옵
마가트 톱
헤라르도 알다나
지지 버밍엄
루돌프 마산가
마이클 블레이크 크루스
저스틴 제임스 보이킨
앤더슨 쿠퍼
매켄로 알렉산더
카마루 우스만
티.러브
저메인 브랜틀리
그레인저 서머셋 II
루크 렌자
앨런 웰스
빌 바렛
Lieiry J. Perez 에스칼레라
세빈 힐
개빈 메이컨
스카일러 에브론
테일러 홈즈
안젤라 시프라
파야 마드리드
마리아 텔론
마리아 메르세데스 코로이
조수에 마이치
살 로페즈
이르마 에스텔라 라 게레
마누엘 차베스
레오나르도 카스트로
후안 카를로스 칸투
숀테 휴즈
자이덴 제임스
아바 아서
델레 오군디란
케빈 창가리스
발레리오 도르빌렌
돈 캐스터
조나단 곤잘레스 콜린스
신성한 사랑 코나두-선
채드윅 보스만
드웨인 존슨
알디스 호지
노아 센티네오
사라 샤히
퀸테사 스윈델
마르완 켄자리
모 아메르
보리사봉의
피어스 브로스넌
제임스 쿠사티-모이어
잘론 크리스찬
벤자민 패터슨
오델야 할레비
울리 라투케푸
헨리 윈클러
차임 제라피
샤론 지
스테판 존스
A. 마누엘 미란다
라지 칼라
E. 로이드 네이피어
키아라 라숀
온예 에메-아콰리
산나 에리카
빈스 칸라스
토네이 스튜어트
메그나 나가라잔
패트릭 사봉기
알렉스 파킨슨
조셉 갓
가면 케이시
데니스 도슨
마이크 시니어
저메인 리버스
레지나 팅 첸
세쿠 레이들로
카메론 모이어
도니 캐링턴
분 플랫
필립 포나
데릭 루소
엔젤 로사리오 주니어
탕 응우옌
크리스토퍼 매튜 쿡
나타샤 엘리
다니엘 단카
이사 메이 판가니반
비올라 데이비스
헨리 카빌
나탈리 번
모리스 T. 존슨
트레 라이언
휴 로리
에밀리아 클라크
데이비드 듈리스
히메시 파텔
젬마 아터튼
아리욘 바카레
줄리 애서튼
데이비드 테넌트
조 석
피터 세라피노비치
롭 브라이든
앨리스 오르유잉
조 도일
에블린 홀
피터 멘사
조 앤더슨
브라이언 캐스페
스펜서 와일딩
제임스 포크너
빅토리아 칠랩
웬디 로사스
나탈리아 게르마니
파벨 크리지
이리 발레시
아누쉬카 홀딩
케빈 마이클 클라크
짐 하이
안드레아 스카르두지오
나타샤 부스타만테
페트르 바네크
일라리아 안토넬로
윌리엄 리즈르
나탈리아 레데르센
윌리 셈러
알렉산드라 폰 험멜
펠리페 발렌수엘라
클로이 기드리
네드릭 자비에르
카르미나 가라이
빌리 슬로터
칼리 매킨타이어
로라 쿠버
프레슬리 리차드슨
션 파파존
레전드 제이 존스
에반 소토
마카일라 페이스 닉슨
제라드 버틀러
마이크 콜터
안요선
다니엘라 피네다
폴 벤-빅터
레미 아델레케
조이 슬롯닉
에반 데인 테일러
클라로 데 로스 레예스
켈리 게일
할레이 헤킹
릴리 크루그
올리버 트레베나
타라 웨스트우드
마크 라벨라
퀸 맥퍼슨
케이트 라체스키
앰버 리베라
오티스 윈스턴
모데스토 라센
제프 프란시스코
제프리 홀스만
아리엘 펠릭스
남제시카
토마스 A. 커란
리키 로블스 크루즈
매튜 발레냐
나탈리아 로만 가르시아
헤더 세이퍼트
케이트 비셋
마리아 에볼리
다이애나 브라초
티나 로메로
노르마 라자레노
필라 산타크루즈
살바도르 산체스
훌리오 브라초
라몬 메디나
매트 후킹스
조디 메이
마튼 초카스
스티븐 버코프
줄리안 글로버
칼 와튼
크리스 벨
마커스 랭포드
레이븐 리
소피 말로
재스 스티븐 싱
존 외이가든
이다 엘리스 브로흐
스벤 노르딘
아이빈드 샌더
악셀 보윰
모르텐 스바르트베이트
아나톨 터브먼
Thorbjørn Harr
가드 B. 아이즈볼드
테르제 스트룀달
카린 클라우만
제이넵 후세진
아바 바트네
라스 베르게
앤 마리 오터센
게이르 이바르 라크넴
포르피리오 귀테레즈
외이스테인 얀케 엘링센
난나 룬데발
폴 안데르스 노르드비
Bjørnar Bruun
데이브 바티스타
조나단 그로프
벤 알드리지
크리스틴 쿠이
니키 아무카 버드
루퍼트 그린트
애비 퀸
클레어 루이스 프로스트
맥케나 케리건
오데라 아디모라
이안 메릴 봉우리
